(-138, 0)
(89, 387)
(-39, 288)
(-51, 61)
(375, 278)
(223, -323)
(22, -262)
(-12, -118)
(-233, 164)
(118, -193)
(-10, -171)
(84, 4)
(188, -308)
(44, -285)
(374, 76)
(-323, -294)
(380, 285)
(386, 176)
(-344, 288)
(-279, -55)
(-196, -11)
(-398, 184)
(133, -354)
(-154, -233)
(181, -16)
(177, -282)
(-225, -268)
(-163, 202)
(326, -44)
(61, -289)
(-249, 309)
(-246, 97)
(375, -26)
(219, 118)
(9, 88)
(-223, 355)
(169, -87)
(323, 95)
(-234, 271)
(-62, -361)
(-180, -187)
(-390, -102)
(361, 15)
(74, 153)
(-10, 363)
(-253, 210)
(51, -59)
(374, -343)
(325, -252)
(-223, -280)
(359, 209)
(-253, -108)
(371, -329)
(-392, -219)
(-139, -265)
(94, 138)
(-318, 377)
(386, -113)
(219, -89)
(228, 335)
